cam_phnompenh.yml,yutjam,No,10%,Upcomming plots area
cam_phnompenh_market.yml,yutjam,No,70%,None
codestianhouse.yml,remove,remove,Unknown,None
id_aseanhq.yml,unknown,No,20%,None
id_bali_badung_regency_south_kuta_ungasan_jalan_merak_2.yml,unknown,No,Unknown,None
id_kuta_beachwalk.yml,unknown,No,Unknown,None
kfcvn.yml,phattiel,No,90%,None
klang2.yml,staff,Yes,50%,None
la_luangprabang_watxiengthong.yml,phattiel danieltnc,No,60%,None
mm_mandalay_palace.yml,gwayze,No,90%,None
my_georgetown_acheh.yml,danieltnc,No,55%,None
my_jhr_jhrbhr_jalanibrahim.yml,unknown,No,0%,None
my_jhr_kotaiskandar.yml,unknown,No,0%,None
my_johor_johorbahru_southkey.yml,	?,No,Unknown,None
my_kdh_asetar.yml,.sup13,No,30%,None
my_kl_tower.yml,.sup13,No,95%,
my_klang.yml,staff,Yes,50%,None
my_klang_cityhall.yml,unknown,No,40%,None
my_klcc.yml,.sup13,No,90%,None
my_merdeka_118.yml,epdan,c,100%,None
my_merderka.yml,epdan,No,100%,None
my_penang_georgetown_mall.yml,imtired3564,No,70%,None
my_prk_ipoh.yml,unknown,No,30%,None
my_ptrjy_putrasquare.yml,.sup13,No,20%,None
my_sel_klia_14l.yml,.sup13,No,30%,None
my_sel_klia_15_33.yml,.sup13,No,0%,None
my_sel_plus.yml,unknown,No,Unknown,None
my_selangor_klang.yml,viperanium.,No,30%,None
my_swk_kch_bulatanmajma.yml,.sup13,No,20%,None
my_swk_kch_jlnmatang.yml,unknown,No,2%,None
my_swk_kch_jlnpadungan.yml,search this later deppending if anyone responds,No,10%,None
my_swk_kch_jlnrock.yml,unknown,No,0%,None
my_swk_kch_openairmarket.yml,unknown,No,Unknown,None
my_swk_kch_waterfront.yml,unknown,No,2%,None
my_swk_miri.yml,unknown,No,60%,None
my_wpkl_jlnsyedputra_jlndamansara.yml,.sup13,No,1%,None
ph_batangas_oldtaal.yml,unknown,No,Unknown,None
ph_cavite_kawit_aguinaldoshrine.yml,unknown,No,Unknown,None
ph_cebu.yml,unknown,No,40%,None
